X,Y,OBJECTID,advisorySpeed,animals,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashDistance,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,easting,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersectionMidblock,junctionType,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,northing,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,outdatedLocationDescription,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadCurvature,roadLane,roadMarkings,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1760316,5916066,109998,0,0,516003,0,0,0,1,0,Null,0,2007,GREEN LANE EAST,OHINERAU ST,Non-Injury Crash,No,2007,0,East,0,1760316,0,0,Flat,0,0,0,Intersection,T Junction,0,Bright sun,494902,0,0,0,5916066,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Nil,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1744777,5917939,109999,0,0,510700,0,0,0,2,0,Null,0,2009,SWANSON ROAD,STURGES ROAD,Non-Injury Crash,No,2009,0,East,0,1744777,0,0,Flat,0,0,0,Intersection,T Junction,0,Overcast,239102,0,0,0,5917939,3,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1746023,5918175,110000,0,0,512500,0,0,0,3,0,East,40,2008,CENTRAL PARK DRIVE,SWAN LANE,Non-Injury Crash,No,2007,0,East,0,1746023,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Dark,257003,0,0,0,5918175,2,0,0,0,Current location,0,1,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1565462,5181282,102001,0,0,590000,1,0,0,1,0,Null,0,2010,WAIMAIRI ROAD,DOVEDALE AVENUE,Non-Injury Crash,No,2009,0,North,0,1565462,0,0,Flat,0,0,0,Intersection,T Junction,0,Twilight,2537800,0,0,0,5181282,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,60,Christchurch City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1820784,5481107,102002,0,0,578401,0,0,0,0,0,North,2000,2014,SH 2,KIRIWHAKAPAPA ROAD,Non-Injury Crash,Yes,2013,0,South,0,1820784,0,1,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,2253900,0,0,0,5481107,2,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,Null,0,0,0,48,Masterton District,Nil,0,0,0,1,1,0,Open,0,0,0,Fine,Strong wind
1763049,5906569,102003,0,0,524302,0,0,0,2,0,South,90,2011,CHEVIOT ST,BUCKLAND ROAD,Non-Injury Crash,No,2010,0,North,0,1763049,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Dark,745700,0,0,0,5906569,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1823260,5462801,102004,0,0,578600,0,0,0,2,0,Null,0,2015,QUEEN ST,RUSSELL ST,Minor Crash,No,2014,0,South,0,1823260,0,0,Flat,0,0,0,Intersection,Crossroads,0,Overcast,2243200,6,0,0,5462801,2,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,48,Masterton District,Stop,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1762615,5918926,102005,0,0,516400,0,0,0,2,0,Null,0,2013,KEPA ROAD,KUPE ST,Non-Injury Crash,No,2012,0,West,0,1762615,0,0,Flat,0,0,0,Intersection,T Junction,0,Overcast,497800,0,0,0,5918926,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1753745,5928505,102006,0,0,508210,0,0,0,2,0,Null,0,2017,CHIVALRY ROAD,GLENFIELD ROAD,Non-Injury Crash,No,2016,0,West,0,1753745,0,0,Flat,0,0,0,Intersection,Crossroads,0,Twilight,186301,0,0,0,5928505,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,76,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1915250,5587513,102007,0,0,545851,0,0,0,0,0,West,10200,2012,TE AUTE TRUST ROAD,MIDDLE ROAD,Minor Crash,No,2011,0,West,0,1915250,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Dark,1466101,2,0,0,5587513,1,0,0,0,Current location,0,0,0,0,0,Hawke's Bay Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,None,1,0,0,30,Hastings District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1747877,5877091,102008,0,0,521151,0,0,0,1,0,North,800,2004,KOHEKOHE-KARIOITAHI ROAD,KAIHAU ROAD,Minor Crash,No,2003,0,North,0,1747877,0,0,Hill Road,0,Labour Weekend,0,Midblock,Nil (Default),0,Bright sun,831000,1,0,0,5877091,2,0,0,0,Current location,1,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,None,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1567856,5180053,102009,0,0,590800,1,0,0,1,0,Null,0,2005,CLARENCE ST,DILWORTH ST,Minor Crash,No,2005,0,North,0,1567856,0,0,Flat,0,0,0,Intersection,T Junction,0,Bright sun,2473800,1,0,0,5180053,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,60,Christchurch City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1934733,5621590,102010,0,0,546400,0,0,0,2,0,Null,0,2013,SH 2 HYDERABAD ROAD,PANDORA ROAD,Non-Injury Crash,Yes,2012,0,West,0,1934733,0,0,Flat,0,0,0,Intersection,Roundabout,0,Twilight,1426400,0,0,0,5621590,4,0,0,0,Current location,0,0,0,0,0,Hawke's Bay Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,31,Napier City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1731234,5926732,102011,0,0,506652,0,0,0,0,0,Null,0,2003,MURIWAI ROAD,HAMILTON ROAD,Non-Injury Crash,No,2002,0,North,0,1731234,0,0,Hill Road,0,0,0,Intersection,T Junction,0,Overcast,218102,0,0,1,5926732,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,None,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1887457,5733159,102012,0,0,541335,0,0,0,1,1,North,1060,2015,SH 5,OHAAKI ROAD,Non-Injury Crash,Yes,2015,0,North,0,1887457,0,0,Hill Road,0,0,0,Midblock,Nil (Default),0,Dark,1277201,0,0,0,5733159,2,0,0,0,Current location,0,0,0,0,0,Waikato Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,None,0,0,0,21,Taupo District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1600928,5448806,102013,0,0,584301,0,0,0,1,0,South,20,2006,SH 60,WALLACE ST,Non-Injury Crash,Yes,2005,0,North,0,1600928,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Overcast,2379200,0,0,0,5448806,1,0,0,0,Current location,0,1,0,0,0,Tasman Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,51,Tasman District,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1761740,5438308,102014,0,0,569500,0,0,0,1,0,Null,0,2009,SH 2,MAJOR DRIVE,Non-Injury Crash,Yes,2008,0,North,0,1761740,0,0,Flat,0,0,0,Intersection,T Junction,0,Dark,1917500,0,0,0,5438308,4,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,100,0,On,1,0,0,46,Lower Hutt City,Traffic Signals,0,0,0,0,0,0,Open,0,0,0,Heavy rain,Null
1742384,5926575,102015,0,0,513410,0,0,0,1,0,West,130,2017,SH 16,FRED TAYLOR DRIVE,Non-Injury Crash,Yes,2017,0,North,0,1742384,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Dark,223100,0,0,0,5926575,2,0,0,0,Current location,0,0,0,0,1,Auckland Region,Nil,Curved,1-way,0,Sealed,0,0,0,0,80,0,On,0,0,0,76,Auckland,Unknown,0,1,0,0,0,0,Open,0,0,0,Fine,Null
1406844,4913719,102016,0,0,605600,0,0,0,2,0,Null,0,2001,QUEENS DRIVE,MARLOW ST,Non-Injury Crash,No,2000,0,South,0,1406844,0,0,Flat,0,0,0,Intersection,Crossroads,0,Bright sun,2951600,0,0,0,4913719,2,0,0,0,Current location,0,0,0,0,0,Otago Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,71,Dunedin City,Stop,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1566816,5180363,102017,0,0,590701,1,0,0,1,0,Null,0,2004,KONINI ST,TOTARA ST,Non-Injury Crash,No,2003,0,North,0,1566816,0,0,Flat,0,0,0,Intersection,Crossroads,0,Bright sun,2470200,0,0,0,5180363,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,60,Christchurch City,Stop,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1749900,5430782,102018,0,0,574500,0,0,0,1,0,North,10,2013,HUTT ROAD,SCHOOL ROAD,Minor Crash,No,2012,0,South,0,1749900,0,0,Flat,0,0,0,Intersection,T Junction,0,Bright sun,2093600,1,0,0,5430782,4,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,60,0,Null,0,0,0,47,Wellington City,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1745787,5919465,102019,0,0,513301,0,0,0,2,0,North,100,2003,CENTRAL PARK DRIVE,CLEMWAY PLACE,Non-Injury Crash,No,2003,0,South,0,1745787,0,0,Flat,0,0,0,Midblock,Driveway,0,Bright sun,230602,0,0,0,5919465,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1868211,5712120,102020,0,0,541740,0,0,0,3,0,North,25,2005,LAKE TERRACE,MERE ROAD,Non-Injury Crash,No,2005,0,South,0,1868211,0,0,Flat,0,Christmas New Year,0,Midblock,Nil (Default),0,Bright sun,1268501,0,0,0,5712120,2,0,0,0,Current location,0,0,0,0,0,Waikato Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,21,Taupo District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1767755,5912924,102021,0,0,523000,0,0,0,1,0,East,10,2006,REEVES ROAD,UDYS ROAD,Non-Injury Crash,No,2005,0,East,0,1767755,0,0,Hill Road,0,0,0,Intersection,Roundabout,0,Overcast,688700,0,0,0,5912924,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1763393,5911223,102022,0,0,520500,0,0,0,2,0,Null,0,2011,GREAT SOUTH ROAD,BELL AVENUE,Minor Crash,No,2010,0,North,0,1763393,0,0,Flat,0,0,0,Intersection,Crossroads,0,Overcast,637702,3,0,0,5911223,4,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,76,Auckland,Stop,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1634542,5435689,102023,35,0,581812,0,0,0,1,0,East,2100,2010,SH 6,TEAL VALLEY ROAD,Minor Crash,Yes,2010,0,South,0,1634542,0,0,Hill Road,0,0,0,Midblock,Nil (Default),0,Bright sun,2360905,2,0,0,5435689,2,0,0,0,Current location,0,0,0,0,0,Nelson Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,Null,0,0,0,52,Nelson City,Nil,0,0,0,0,0,0,Open,1,0,0,Fine,Null
1562911,5178214,102024,0,0,587702,0,0,0,2,0,East,150,2015,SPRINGS ROAD,SIOUX AVENUE,Minor Crash,No,2015,0,East,0,1562911,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,2481408,1,0,0,5178214,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,60,Christchurch City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1462946,5108089,102025,0,0,598312,0,0,0,2,0,North,20,2014,SH 1S,BARKER ROAD,Non-Injury Crash,Yes,2013,0,North,0,1462946,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,2769402,0,0,0,5108089,2,0,0,0,Current location,0,0,0,0,1,Canterbury Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,Null,0,0,0,64,Timaru District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
